,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,bed_type,minimum_nights,price,price_pred
4556,strict_14_with_grace_period,f,3.0,Outer Sunset,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,3.0,135.0,120.5802
5832,strict_14_with_grace_period,f,13.0,Western Addition,Apartment,Entire home/apt,9.0,3.0,4.0,Real Bed,30.0,230.0,308.06937
7141,flexible,t,18.0,Noe Valley,House,Entire home/apt,3.0,1.0,2.0,Real Bed,30.0,163.0,150.67923
6221,moderate,t,35.0,Haight Ashbury,Hostel,Private room,3.0,1.0,1.0,Real Bed,1.0,100.0,97.29374
3114,moderate,f,1.0,Pacific Heights,House,Entire home/apt,8.0,3.0,0.0,Real Bed,2.0,800.0,798.3609
5611,strict_14_with_grace_period,t,1.0,South of Market,Apartment,Entire home/apt,5.0,2.0,2.0,Real Bed,2.0,415.0,326.09164
6511,strict_14_with_grace_period,f,1.0,South of Market,Apartment,Private room,6.0,1.0,2.0,Real Bed,30.0,65.0,164.45929
5231,flexible,t,3.0,Mission,Apartment,Shared room,2.0,1.0,2.0,Real Bed,30.0,45.0,179.10588
6391,flexible,t,12.0,Excelsior,Townhouse,Private room,2.0,1.0,1.0,Real Bed,1.0,80.0,64.216415
3334,moderate,f,1.0,Inner Sunset,Bungalow,Entire home/apt,5.0,2.0,3.0,Real Bed,4.0,195.0,251.6226
5411,strict_14_with_grace_period,f,1.0,Financial District,Condominium,Private room,1.0,1.0,1.0,Real Bed,30.0,235.0,123.936584
3819,moderate,t,1.0,Western Addition,Apartment,Private room,1.0,1.0,1.0,Real Bed,2.0,100.0,100.235664
904,moderate,t,4.0,Inner Richmond,House,Entire home/apt,4.0,1.0,4.0,Real Bed,3.0,225.0,218.12596
6699,moderate,f,1.0,Mission,Condominium,Entire home/apt,4.0,1.0,0.0,Real Bed,2.0,250.0,204.58446
6958,strict_14_with_grace_period,f,1.0,Twin Peaks,House,Private room,6.0,2.0,2.0,Real Bed,1.0,200.0,306.15283
3318,moderate,f,852.0,Nob Hill,Apartment,Entire home/apt,6.0,3.0,3.0,Real Bed,30.0,298.0,409.5852
4217,flexible,f,87.0,Downtown/Civic Center,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,77.0,92.94762
6256,strict_14_with_grace_period,t,3.0,Outer Richmond,House,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,165.0,249.92134
5981,strict_14_with_grace_period,t,5.0,Pacific Heights,House,Private room,2.0,1.0,1.0,Real Bed,3.0,139.0,132.22075
4321,moderate,t,1.0,South of Market,Loft,Entire home/apt,2.0,1.0,1.0,Real Bed,1.0,150.0,194.49307
2111,flexible,t,28.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,1.0,1.0,Real Bed,1.0,110.0,100.4864
1540,moderate,t,6.0,Crocker Amazon,House,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,50.0,84.49438
4719,moderate,t,1.0,Potrero Hill,House,Entire home/apt,3.0,2.0,2.0,Real Bed,30.0,135.0,161.55457
3811,moderate,f,1.0,Castro/Upper Market,Condominium,Private room,2.0,1.0,1.0,Real Bed,2.0,85.0,125.5595
4740,flexible,f,2.0,Outer Richmond,Condominium,Private room,2.0,1.0,1.0,Real Bed,30.0,100.0,108.788864
4596,strict_14_with_grace_period,t,5.0,Inner Richmond,Apartment,Entire home/apt,6.0,3.0,4.0,Real Bed,30.0,200.0,270.85782
6283,strict_14_with_grace_period,t,165.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,160.0,148.82211
3700,moderate,f,852.0,Nob Hill,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,122.0,125.980064
2846,moderate,f,4.0,Outer Sunset,House,Private room,4.0,1.0,2.0,Real Bed,1.0,100.0,97.23265
254,strict_14_with_grace_period,t,1.0,Haight Ashbury,Guest suite,Entire home/apt,4.0,1.0,2.0,Real Bed,3.0,190.0,175.00903
6822,moderate,f,2.0,Western Addition,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,278.0,252.4355
3265,moderate,f,852.0,South of Market,Apartment,Entire home/apt,6.0,3.0,3.0,Real Bed,30.0,233.0,252.35342
221,moderate,f,1.0,West of Twin Peaks,House,Private room,4.0,3.0,3.0,Real Bed,1.0,250.0,230.52689
3917,moderate,f,4.0,Visitacion Valley,House,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,70.0,104.482574
1916,strict_14_with_grace_period,f,1.0,Russian Hill,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,4.0,275.0,331.31042
5471,moderate,t,4.0,Pacific Heights,Condominium,Entire home/apt,6.0,2.0,2.0,Real Bed,5.0,700.0,506.74994
2522,strict_14_with_grace_period,f,1.0,North Beach,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,250.0,221.78148
6884,strict_14_with_grace_period,t,1.0,Inner Sunset,House,Entire home/apt,7.0,4.0,5.0,Real Bed,2.0,475.0,438.20416
4473,super_strict_30,t,27.0,Pacific Heights,House,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,135.0,110.87192
1619,moderate,t,1.0,Mission,Apartment,Entire home/apt,4.0,2.0,4.0,Real Bed,30.0,500.0,174.91293
1444,moderate,f,3.0,Excelsior,House,Private room,2.0,1.0,1.0,Real Bed,2.0,59.0,76.81415
5113,strict_14_with_grace_period,f,799.0,South of Market,Apartment,Entire home/apt,3.0,0.0,2.0,Real Bed,30.0,149.0,150.31357
6198,moderate,t,2.0,Bayview,Bungalow,Private room,2.0,1.0,1.0,Real Bed,30.0,42.0,72.731094
1481,flexible,f,25.0,North Beach,Bed and breakfast,Private room,2.0,1.0,2.0,Real Bed,1.0,83.0,113.46089
6623,strict_14_with_grace_period,t,165.0,Marina,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,150.0,151.61314
6015,flexible,f,2.0,Potrero Hill,Guest suite,Entire home/apt,4.0,2.0,2.0,Real Bed,3.0,350.0,219.21011
6478,flexible,t,5.0,West of Twin Peaks,House,Private room,10.0,4.0,6.0,Real Bed,3.0,400.0,423.17108
376,strict_14_with_grace_period,f,1.0,Noe Valley,House,Entire home/apt,6.0,3.0,4.0,Real Bed,5.0,975.0,477.5627
755,moderate,f,1.0,Castro/Upper Market,House,Entire home/apt,4.0,2.0,2.0,Real Bed,3.0,395.0,279.05063
291,moderate,f,4.0,Castro/Upper Market,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,100.0,126.86794
6360,strict_14_with_grace_period,t,165.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,150.0,148.82211
3643,strict_14_with_grace_period,f,1.0,Bernal Heights,Guest suite,Entire home/apt,2.0,0.0,1.0,Real Bed,2.0,130.0,122.11002
188,flexible,t,20.0,Financial District,Hostel,Shared room,3.0,1.0,3.0,Real Bed,1.0,45.0,92.612885
4741,flexible,t,3.0,Downtown/Civic Center,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,55.0,74.53969
1202,strict_14_with_grace_period,f,1.0,Mission,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,125.0,171.77225
3547,strict_14_with_grace_period,f,64.0,Castro/Upper Market,Apartment,Entire home/apt,6.0,2.0,2.0,Real Bed,30.0,203.0,225.24849
2700,flexible,t,20.0,Financial District,Hostel,Shared room,4.0,1.0,4.0,Real Bed,1.0,45.0,99.65794
5484,flexible,f,2.0,Mission,Condominium,Entire home/apt,4.0,2.0,3.0,Real Bed,4.0,275.0,285.19656
501,moderate,f,1.0,Castro/Upper Market,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,218.0,201.97931
5051,moderate,f,852.0,Western Addition,Apartment,Entire home/apt,4.0,1.0,1.0,Real Bed,30.0,171.0,151.0599
5047,strict_14_with_grace_period,f,1.0,Outer Sunset,House,Entire home/apt,6.0,3.0,3.0,Real Bed,2.0,280.0,293.11853
5369,flexible,t,1.0,Marina,Bed and breakfast,Private room,2.0,0.0,1.0,Real Bed,3.0,86.0,135.7108
3168,strict_14_with_grace_period,f,1.0,Twin Peaks,House,Entire home/apt,3.0,1.0,4.0,Real Bed,30.0,125.0,200.24557
6821,moderate,f,1.0,West of Twin Peaks,House,Entire home/apt,5.0,3.0,3.0,Real Bed,2.0,349.0,307.856
6612,strict_14_with_grace_period,t,3.0,Downtown/Civic Center,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,599.0,114.14528
672,moderate,t,1.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,210.0,139.16826
4663,flexible,f,1.0,Ocean View,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,150.0,168.80168
1278,strict_14_with_grace_period,f,1.0,Inner Richmond,Condominium,Entire home/apt,6.0,2.0,4.0,Real Bed,3.0,250.0,326.34723
1264,flexible,f,2.0,Glen Park,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,73.0,84.77647
6202,flexible,f,2.0,Outer Sunset,House,Entire home/apt,4.0,2.0,2.0,Real Bed,21.0,400.0,168.13535
3785,strict_14_with_grace_period,f,3.0,Western Addition,Guest suite,Entire home/apt,3.0,0.0,2.0,Real Bed,1.0,132.0,152.45985
5601,moderate,f,4.0,Mission,Townhouse,Entire home/apt,4.0,2.0,3.0,Real Bed,30.0,270.0,201.2704
1193,moderate,t,1.0,Mission,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,120.0,113.706245
3554,moderate,t,1.0,Western Addition,House,Private room,2.0,1.0,1.0,Real Bed,2.0,120.0,119.609474
216,strict_14_with_grace_period,f,2.0,Potrero Hill,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,4.0,325.0,285.66812
4080,moderate,f,3.0,Visitacion Valley,House,Private room,2.0,1.0,1.0,Real Bed,2.0,125.0,87.988
421,strict_14_with_grace_period,f,2.0,Haight Ashbury,Condominium,Entire home/apt,4.0,1.0,1.0,Real Bed,30.0,160.0,157.5608
505,moderate,f,1.0,Inner Sunset,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,190.0,208.64294
4732,flexible,f,6.0,Outer Mission,House,Private room,2.0,1.0,1.0,Real Bed,1.0,55.0,76.09097
3835,moderate,f,9.0,Outer Mission,House,Private room,2.0,1.0,1.0,Real Bed,2.0,90.0,78.60425
3297,flexible,t,1.0,Mission,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,3.0,250.0,254.21942
506,strict_14_with_grace_period,f,3.0,Marina,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,3.0,435.0,184.46407
3998,moderate,f,4.0,Haight Ashbury,Apartment,Entire home/apt,6.0,3.0,3.0,Real Bed,2.0,250.0,366.3252
7143,flexible,t,10.0,Western Addition,Apartment,Entire home/apt,4.0,1.0,1.0,Real Bed,2.0,249.0,217.45824
1323,flexible,t,1.0,Marina,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,4.0,220.0,165.3666
2806,moderate,f,4.0,Pacific Heights,Guest suite,Private room,2.0,1.0,1.0,Real Bed,1.0,99.0,152.05656
4603,moderate,t,4.0,Visitacion Valley,Guest suite,Entire home/apt,3.0,1.0,2.0,Real Bed,1.0,67.0,103.43204
3802,moderate,t,1.0,Noe Valley,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,99.0,118.12188
4399,moderate,f,4.0,Outer Sunset,House,Private room,2.0,1.0,1.0,Real Bed,1.0,100.0,83.357254
3641,strict_14_with_grace_period,f,6.0,Twin Peaks,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,30.0,100.0,98.26666
2875,strict_14_with_grace_period,f,1.0,Castro/Upper Market,Apartment,Entire home/apt,4.0,3.0,3.0,Real Bed,5.0,365.0,340.50235
4563,moderate,t,3.0,Outer Mission,House,Private room,1.0,1.0,1.0,Real Bed,5.0,50.0,76.18923
3874,strict_14_with_grace_period,t,14.0,Lakeshore,House,Private room,1.0,1.0,1.0,Real Bed,30.0,67.0,42.69051
347,strict_14_with_grace_period,t,4.0,Nob Hill,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,140.0,82.20219
4328,flexible,f,1.0,Mission,Condominium,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,249.0,152.48433
333,moderate,f,1.0,Noe Valley,House,Entire home/apt,5.0,2.0,3.0,Real Bed,3.0,260.0,294.9526
5383,strict_14_with_grace_period,t,10.0,Downtown/Civic Center,Serviced apartment,Entire home/apt,4.0,1.0,2.0,Real Bed,4.0,1200.0,510.96378
4235,strict_14_with_grace_period,f,3.0,South of Market,Apartment,Entire home/apt,5.0,2.0,4.0,Real Bed,1.0,264.0,288.94907
5041,strict_14_with_grace_period,f,5.0,Bayview,House,Private room,1.0,1.0,1.0,Real Bed,1.0,39.0,61.23792
6735,strict_14_with_grace_period,t,8.0,Mission,House,Private room,2.0,1.0,1.0,Real Bed,1.0,59.0,98.95854
6940,flexible,t,1.0,Twin Peaks,Apartment,Entire home/apt,6.0,3.0,4.0,Real Bed,2.0,249.0,413.0533
6689,moderate,t,1.0,Outer Sunset,House,Private room,2.0,1.0,1.0,Real Bed,1.0,114.0,80.144684
6541,flexible,f,2.0,Mission,Apartment,Entire home/apt,5.0,3.0,3.0,Real Bed,60.0,190.0,216.76598
3525,strict_14_with_grace_period,t,1.0,Inner Sunset,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,121.0,121.89745
746,moderate,f,1.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,250.0,162.80151
2447,strict_14_with_grace_period,f,1.0,South of Market,Apartment,Entire home/apt,6.0,2.0,3.0,Real Bed,30.0,238.0,262.59885
4460,flexible,f,4.0,Ocean View,House,Private room,2.0,1.0,1.0,Real Bed,1.0,65.0,75.685295
3546,moderate,t,1.0,North Beach,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,150.0,143.703
5052,flexible,t,23.0,Haight Ashbury,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,30.0,107.0,136.17148
5978,flexible,f,162.0,Downtown/Civic Center,Apartment,Entire home/apt,4.0,1.0,1.0,Real Bed,30.0,209.0,179.96786
3859,strict_14_with_grace_period,f,35.0,Potrero Hill,Guest suite,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,150.0,142.2396
5463,moderate,f,4.0,Crocker Amazon,Guest suite,Entire home/apt,6.0,2.0,4.0,Real Bed,2.0,200.0,173.11694
3481,strict_14_with_grace_period,f,1.0,Russian Hill,Apartment,Private room,2.0,1.0,1.0,Real Bed,31.0,200.0,135.2913
259,strict_14_with_grace_period,f,41.0,Excelsior,House,Private room,2.0,1.0,1.0,Real Bed,30.0,40.0,47.84389
4492,moderate,t,1.0,Bayview,Guest suite,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,120.0,158.77376
4625,strict_14_with_grace_period,f,64.0,Mission,Apartment,Entire home/apt,3.0,1.0,1.0,Real Bed,30.0,130.0,114.31976
4026,strict_14_with_grace_period,f,4.0,Glen Park,House,Private room,4.0,1.0,2.0,Real Bed,3.0,80.0,160.71786
6178,flexible,t,439.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,245.0,182.3762
5614,moderate,f,4.0,Bernal Heights,House,Private room,2.0,1.0,1.0,Real Bed,3.0,150.0,115.364136
599,moderate,f,1.0,Castro/Upper Market,House,Entire home/apt,8.0,3.0,4.0,Real Bed,2.0,950.0,431.84937
45,moderate,f,1.0,Bernal Heights,House,Private room,2.0,1.0,1.0,Real Bed,3.0,129.0,110.39668
6580,strict_14_with_grace_period,f,44.0,Castro/Upper Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,123.0,123.273415
3966,moderate,f,4.0,Downtown/Civic Center,Condominium,Private room,2.0,1.0,1.0,Real Bed,30.0,89.0,145.02875
3709,strict_14_with_grace_period,f,2.0,Noe Valley,Townhouse,Entire home/apt,8.0,4.0,4.0,Real Bed,4.0,945.0,589.2614
6835,strict_14_with_grace_period,f,64.0,Chinatown,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,140.0,112.71325
1596,moderate,t,1.0,West of Twin Peaks,House,Private room,2.0,1.0,1.0,Real Bed,1.0,141.0,101.86623
1437,moderate,f,2.0,Mission,Apartment,Private room,4.0,2.0,2.0,Real Bed,3.0,169.0,206.80234
3153,moderate,f,852.0,South of Market,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,196.0,182.23628
2520,strict_14_with_grace_period,f,33.0,Pacific Heights,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,141.0,132.98624
6467,flexible,f,3.0,Mission,Condominium,Private room,2.0,1.0,1.0,Real Bed,4.0,80.0,149.4632
2716,strict_14_with_grace_period,f,89.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,0.0,1.0,Real Bed,1.0,140.0,150.89026
2300,moderate,f,4.0,Bernal Heights,House,Private room,2.0,1.0,1.0,Real Bed,31.0,90.0,99.74257
6039,flexible,f,2.0,Mission,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,105.0,136.1945
426,moderate,f,1.0,Outer Sunset,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,1.0,153.0,105.948814
2228,moderate,f,2.0,Western Addition,Apartment,Entire home/apt,8.0,3.0,5.0,Real Bed,2.0,550.0,410.60663
805,moderate,f,1.0,Mission,House,Private room,2.0,1.0,1.0,Real Bed,2.0,115.0,111.68614
410,strict_14_with_grace_period,f,1.0,Castro/Upper Market,House,Entire home/apt,6.0,3.0,0.0,Real Bed,3.0,395.0,500.24677
6207,strict,f,852.0,Western Addition,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,235.0,188.75256
3688,moderate,t,1.0,Western Addition,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,195.0,165.40265
438,flexible,f,1.0,Castro/Upper Market,Condominium,Private room,3.0,1.0,1.0,Real Bed,1.0,115.0,133.7942
4027,moderate,t,6.0,Lakeshore,House,Entire home/apt,15.0,4.0,8.0,Real Bed,1.0,260.0,1034.0226
4803,flexible,t,53.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,0.0,1.0,Real Bed,1.0,79.0,87.17423
434,strict_14_with_grace_period,f,3.0,Potrero Hill,Apartment,Private room,2.0,1.0,1.0,Real Bed,2.0,178.0,118.2586
3769,moderate,f,1.0,Bernal Heights,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,145.0,128.71811
1303,moderate,f,1.0,Outer Sunset,Apartment,Entire home/apt,4.0,0.0,4.0,Real Bed,2.0,150.0,143.45299
2442,flexible,f,1.0,Haight Ashbury,Condominium,Entire home/apt,6.0,2.0,0.0,Real Bed,5.0,450.0,339.60675
5736,moderate,t,1.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,2.0,349.0,172.6077
7109,flexible,t,1.0,Outer Richmond,House,Entire home/apt,8.0,4.0,4.0,Real Bed,2.0,440.0,403.74197
1672,moderate,f,2.0,Parkside,House,Private room,2.0,1.0,2.0,Real Bed,1.0,49.0,83.63581
4832,flexible,f,11.0,Lakeshore,House,Private room,2.0,1.0,1.0,Real Bed,1.0,98.0,68.88859
6076,flexible,f,1.0,Mission,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,3.0,500.0,247.7083
1049,strict_14_with_grace_period,f,2.0,Inner Sunset,House,Entire home/apt,4.0,3.0,4.0,Real Bed,170.0,165.0,300.52927
626,strict_14_with_grace_period,f,3.0,Western Addition,Condominium,Entire home/apt,4.0,1.0,1.0,Real Bed,30.0,290.0,175.94531
3686,moderate,f,2.0,Inner Sunset,Guest suite,Private room,4.0,1.0,2.0,Real Bed,4.0,170.0,161.61172
1224,strict_14_with_grace_period,f,4.0,Potrero Hill,House,Private room,2.0,1.0,1.0,Real Bed,30.0,120.0,98.078064
210,moderate,f,41.0,Downtown/Civic Center,Condominium,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,138.0,112.45063
6782,moderate,f,3.0,Western Addition,House,Private room,2.0,1.0,1.0,Real Bed,3.0,250.0,129.10112
6090,strict_14_with_grace_period,t,5.0,Nob Hill,Aparthotel,Private room,2.0,1.0,2.0,Real Bed,1.0,99.0,112.8635
6441,flexible,t,439.0,Western Addition,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,196.0,167.36191
51,moderate,f,1.0,Mission,Apartment,Entire home/apt,2.0,1.0,1.0,Futon,30.0,91.0,130.53792
1109,strict_14_with_grace_period,f,1.0,Diamond Heights,Apartment,Entire home/apt,3.0,2.0,2.0,Real Bed,3.0,285.0,211.31238
1321,moderate,t,6.0,Bernal Heights,House,Private room,1.0,1.0,1.0,Real Bed,2.0,119.0,81.814644
4389,moderate,t,5.0,Outer Richmond,House,Private room,2.0,1.0,1.0,Real Bed,2.0,50.0,93.28346
1783,super_strict_30,f,82.0,Downtown/Civic Center,Apartment,Entire home/apt,4.0,0.0,2.0,Real Bed,1.0,249.0,197.03102
6800,strict_14_with_grace_period,f,11.0,Downtown/Civic Center,Aparthotel,Private room,1.0,0.0,1.0,Real Bed,32.0,130.0,78.87008
6458,flexible,t,439.0,Western Addition,Apartment,Entire home/apt,3.0,2.0,2.0,Real Bed,30.0,313.0,238.00095
5196,flexible,f,6.0,South of Market,Condominium,Entire home/apt,4.0,1.0,3.0,Real Bed,30.0,135.0,166.633
6070,strict_14_with_grace_period,f,3.0,Haight Ashbury,Apartment,Entire home/apt,4.0,1.0,2.0,Real Bed,1.0,219.0,188.2597
1431,moderate,f,2.0,West of Twin Peaks,House,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,300.0,235.68834
3986,moderate,f,1.0,Potrero Hill,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,275.0,157.64784
3019,strict_14_with_grace_period,f,1.0,Financial District,Condominium,Entire home/apt,2.0,1.0,1.0,Real Bed,90.0,250.0,255.45204
3622,moderate,t,1.0,Outer Mission,Guest suite,Entire home/apt,5.0,2.0,3.0,Real Bed,3.0,180.0,173.01527
4355,moderate,t,1.0,Inner Richmond,Guest suite,Entire home/apt,4.0,1.0,2.0,Real Bed,3.0,195.0,169.87668
5827,strict_14_with_grace_period,f,200.0,Downtown/Civic Center,Condominium,Entire home/apt,4.0,1.0,2.0,Real Bed,3.0,229.0,228.94458
5547,flexible,f,2.0,South of Market,Townhouse,Private room,4.0,1.0,2.0,Real Bed,1.0,200.0,152.88564
3083,moderate,f,3.0,Outer Mission,Condominium,Private room,1.0,1.0,1.0,Real Bed,30.0,65.0,68.31629
5115,moderate,t,1.0,Haight Ashbury,Guest suite,Entire home/apt,2.0,1.0,1.0,Real Bed,3.0,170.0,139.55885
5314,moderate,t,2.0,Haight Ashbury,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,125.0,130.0293
1873,moderate,f,3.0,Bernal Heights,House,Entire home/apt,2.0,1.0,1.0,Real Bed,1.0,155.0,135.61203
5968,strict_14_with_grace_period,f,2.0,Mission,House,Private room,2.0,1.0,1.0,Real Bed,32.0,60.0,101.021736
705,moderate,t,6.0,Mission,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,2.0,90.0,139.29108
6277,strict_14_with_grace_period,t,165.0,Marina,Apartment,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,217.0,272.418
4896,flexible,t,53.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,0.0,2.0,Real Bed,1.0,75.0,92.80777
57,moderate,t,3.0,Western Addition,House,Private room,2.0,1.0,1.0,Real Bed,2.0,125.0,122.056656
5000,moderate,f,1.0,Pacific Heights,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,4.0,199.0,185.33034
2400,moderate,f,2.0,Noe Valley,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,95.0,106.33281
527,strict_14_with_grace_period,f,4.0,Haight Ashbury,Condominium,Entire home/apt,7.0,3.0,4.0,Real Bed,30.0,400.0,416.34885
1635,strict_14_with_grace_period,f,2.0,Western Addition,Condominium,Private room,1.0,1.0,1.0,Real Bed,4.0,75.0,140.30069
565,strict_14_with_grace_period,f,2.0,Marina,House,Entire home/apt,5.0,3.0,3.0,Real Bed,2.0,775.0,455.44235
1727,moderate,f,2.0,Mission,Condominium,Entire home/apt,6.0,2.0,4.0,Real Bed,4.0,349.0,306.37247
2514,strict_14_with_grace_period,t,13.0,Nob Hill,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,120.0,90.5149
640,strict_14_with_grace_period,f,2.0,Presidio Heights,Apartment,Entire home/apt,8.0,3.0,3.0,Real Bed,2.0,1500.0,582.3553
1898,moderate,t,1.0,South of Market,Loft,Entire home/apt,4.0,1.0,1.0,Real Bed,3.0,189.0,240.46873
1609,moderate,f,1.0,Noe Valley,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,2.0,215.0,134.16649
730,moderate,f,1.0,Marina,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,345.0,220.71239
3797,moderate,t,4.0,Parkside,House,Entire home/apt,7.0,3.0,6.0,Real Bed,1.0,200.0,357.81348
4394,strict_14_with_grace_period,f,2.0,Potrero Hill,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,30.0,70.0,100.54596
325,moderate,f,1.0,Mission,Apartment,Entire home/apt,2.0,1.0,1.0,Futon,4.0,100.0,156.8269
2118,moderate,t,2.0,Noe Valley,House,Private room,2.0,1.0,1.0,Real Bed,2.0,225.0,117.47066
290,moderate,t,1.0,Outer Richmond,Condominium,Private room,2.0,1.0,1.0,Real Bed,2.0,128.0,108.187004
2355,moderate,t,1.0,Inner Richmond,House,Entire home/apt,6.0,4.0,4.0,Real Bed,4.0,899.0,454.18088
4558,strict_14_with_grace_period,f,33.0,Mission,House,Entire home/apt,8.0,5.0,5.0,Real Bed,30.0,481.0,394.88547
3949,strict_14_with_grace_period,f,4.0,Outer Mission,House,Private room,1.0,1.0,1.0,Real Bed,30.0,78.0,59.73599
4211,flexible,t,87.0,Downtown/Civic Center,Other,Entire home/apt,2.0,0.0,1.0,Real Bed,30.0,80.0,95.11775
4709,moderate,t,2.0,Outer Mission,House,Private room,2.0,1.0,1.0,Real Bed,1.0,75.0,82.68867
2978,strict_14_with_grace_period,f,1.0,Mission,Condominium,Entire home/apt,5.0,2.0,3.0,Real Bed,2.0,310.0,311.63715
4972,strict_14_with_grace_period,t,1199.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,177.0,138.54211
4883,flexible,f,6.0,Outer Mission,House,Private room,3.0,1.0,2.0,Real Bed,1.0,75.0,78.55625
2058,moderate,t,1.0,Outer Mission,House,Private room,2.0,1.0,1.0,Real Bed,3.0,104.0,84.23192
2230,strict_14_with_grace_period,t,12.0,Castro/Upper Market,Apartment,Private room,1.0,1.0,1.0,Real Bed,30.0,65.0,68.60838
864,moderate,t,1.0,Haight Ashbury,Apartment,Entire home/apt,2.0,0.0,1.0,Real Bed,1.0,175.0,137.5755
2752,strict_14_with_grace_period,f,1.0,Outer Sunset,Guest suite,Entire home/apt,4.0,2.0,2.0,Real Bed,2.0,175.0,167.70891
6049,moderate,f,852.0,Castro/Upper Market,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,235.0,196.0772
6346,strict_14_with_grace_period,t,165.0,South of Market,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,30.0,147.0,148.82211
4657,flexible,t,2.0,Downtown/Civic Center,Boutique hotel,Private room,2.0,1.0,1.0,Real Bed,2.0,249.0,137.84396
